"GeneEnsembl","logFC","logCPM","LR","PValue","regulation","absLogFc","geneId","FDR"
"ENSG00000126749",-1.76324772531556,3.9963417231813,37.1297665935974,1.10523620540321e-09,"down",1.76324772531556,"EMG1","2.58e-08"
"ENSG00000131876",-2.12530768767533,4.4033222831051,37.113061988501,1.11474493859519e-09,"down",2.12530768767533,"SNRPA1","2.60e-08"
"ENSG00000187145",-1.32018606710172,4.09222958853281,37.1116532264113,1.11555058115287e-09,"ns",1.32018606710172,"NA","2.60e-08"
"ENSG00000090266",-1.13620575323838,5.74436415447511,37.105276608975,1.11920453750382e-09,"ns",1.13620575323838,"NDUFB2","2.60e-08"
"ENSG00000102879",-1.15911582689918,6.95110936584676,37.0867497434919,1.12988901094601e-09,"ns",1.15911582689918,"CORO1A","2.62e-08"
"ENSG00000158411",-1.69975933677157,4.47619835043895,37.0204731901665,1.16895386439047e-09,"down",1.69975933677157,"MITD1","2.71e-08"
"ENSG00000153283",1.49675891606335,6.65916742882371,36.9247296848531,1.22778737926344e-09,"ns",1.49675891606335,"CD96","2.84e-08"
"ENSG00000013441",-1.53423041476116,6.03012223789581,36.907939350767,1.2384063219733e-09,"down",1.53423041476116,"CLK1","2.86e-08"
"ENSG00000108679",1.7421498721216,3.7608252481146,36.8851430875308,1.25297101240236e-09,"up",1.7421498721216,"LGALS3BP","2.88e-08"
"ENSG00000164035",1.95825122210075,3.84078415154317,36.5320595659381,1.50175814021065e-09,"up",1.95825122210075,"EMCN","3.42e-08"
"ENSG00000161547",1.05633522302959,5.57688905441182,36.3450007043806,1.65302680506725e-09,"ns",1.05633522302959,"SRSF2","3.73e-08"
"ENSG00000135218",1.0979665263463,10.1004089214674,36.1507261656234,1.82630413621141e-09,"ns",1.0979665263463,"CD36","4.10e-08"
"ENSG00000079257",1.24887083662923,5.29500852466017,36.0746176270355,1.89904430222045e-09,"ns",1.24887083662923,"LXN","4.25e-08"
"ENSG00000012223",3.12919075701319,5.10983856194536,35.9656069485985,2.0083129181072e-09,"up",3.12919075701319,"LTF","4.45e-08"
"ENSG00000065000",-1.99972188028101,3.83888950253749,35.963233967734,2.01076025141437e-09,"down",1.99972188028101,"AP3D1","4.45e-08"
"ENSG00000125743",-1.3435050647136,5.61392537104765,35.9287955299629,2.04661575979054e-09,"ns",1.3435050647136,"SNRPD2","4.53e-08"
"ENSG00000158856",1.03949237640066,8.85051424241374,35.8313741681451,2.15155104072872e-09,"ns",1.03949237640066,"DMTN","4.73e-08"
